"Branch","Executive Name","Visted Date","Customer Group","Potential Qnty","Mode Of Contact","Item Group","Notes/Remarks","Creation Date","Date of Update"
"Chennai","CHANDRASEKARAN.A","2014-02-17 00:00:00","PRASAD ORGANICS (P) LTD","0","","PHOSPHORIC ACID","Went for rentry customer Meet Mrs Anuratha they getting material 60 days credit there are expceting minimum 45days from us()","2014-02-26",""
"Chennai","CHANDRASEKARAN.A","2014-02-17 00:00:00","THIN CHEMIE FORMULATIONS.,","0","Visit","MIX XYLENE","Went for exiting customer order followup customer will give next month","2014-02-26",""
"Chennai","CHANDRASEKARAN.A","2014-02-17 00:00:00","EXCEL GLASS FIBRE INDUSTRIES (P) LTD","0","","TOLUENE","Went For exiting customer Meet Mr.Sridhar if customer have order they will call us","2014-02-26",""
"Chennai","CHANDRASEKARAN.A","2014-02-17 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","","TOLUENE DI ISOCYNATE (TDI)","Went for Exiting customer Meet Mr.Guruprasad for PDC when it ready they will call us","2014-02-26",""
"Chennai","CHANDRASEKARAN.A","2014-02-18 00:00:00","EAU CHEMICAL (MFG) PVT.LTD.","0","Visit","ACETIC ACID","Went for Rentery customer Contact Person Not Available","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-18 00:00:00","NUTECH AUTO PRODUCTS","0","Visit","MIX XYLENE","Went for exiting customer Meet mrs Kalaiselvi order follwup","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-18 00:00:00","ICA SPECIALITIES","0","Visit","SOLVENT C9","Went for exiting customer Meet Mrs.jaya order followup if customer have order customer will call us","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-20 00:00:00","BLUEGREEN PIONEERS","0","Visit","ACETIC ACID","Went exiting customer Meet Mr.Balaji cust dont use our chemicals","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-21 00:00:00","POLYHOSE INDIA PVT. LTD.,","0","Visit","CYCLOHEXANONE","Went exiting customer meet mr.ganamurukan customer was busy order will give next month","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-21 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","Visit","TOLUENE","Went exiting customer for order payment followup & order followup next week will give order","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-21 00:00:00","SOFTGEL HEALTH CARE PRIVATE LTD","0","Visit","ISOPAR H","went new customer Meet mrs.Nancy for Isoper H sample status next week customer will say result","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-21 00:00:00","THIN CHEMIE FORMULATIONS.,","0","Visit","MIX XYLENE","Went for exting customer Meet mr.Narasimman for order followup customer will give next month","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-24 00:00:00","NUTECH AUTO PRODUCTS","0","Visit","MIX XYLENE","Went for exting customer Meet MrsKalaiselvi for order followup customer will give next month","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-24 00:00:00","FLAMAGAS INDIA PVT LTD.","0","Visit","CYCLOHEXANONE","Went for exiting customer Meet mr. Prakash regarding for order next month will give","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-24 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","Visit","TOLUENE DI ISOCYNATE (TDI)","Went for exting customer Meet Mr.Krishnan given invoice & payment followup customer will give with in 2days","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-24 00:00:00","SOFTGEL HEALTH CARE PRIVATE LTD","0","Visit","ISOPAR H","Went for New customer Meet mr.Preamkumar for already we have given sample for status customer said next week call us","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-24 00:00:00","ANABOND GROUP","0","Visit","TOLUENE","Went for exiting customer for payment followup collected payment by cheque","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-25 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","Visit","TOLUENE","Went exiting customer Meet Mr.Guruprasad for payment followup customer will RTGS tommerow","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-25 00:00:00","POLYHOSE INDIA PVT. LTD.,","0","Visit","PHOSPHORIC ACID","Went exiting customer Meet Mr.Ganamurugan regarding order customer next month customer will give","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-25 00:00:00","PRASAD ORGANICS (P) LTD","0","Visit","PHOSPHORIC ACID","Went exiting customer Meet mrs.Anuratha for confermation credit days she want discus with his manager","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-25 00:00:00","UNIVERSAL PRINT SYSTEMS LTD","0","Visit","ISO PROPYL ALCOHOL","Went new new customer Meet Mr.Ravirama for given sample IPA and offer also given","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-25 00:00:00","SENDHUR SURFACE COATINGS","0","Visit","ETHYL CELLOSOLVE","Went exiting customer Meet Mr.senthil for order followup customer will give next month only","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-02-26 00:00:00","SIFA PRINTING INKS PVT.LTD","0","Visit","","Went exting customer unable to meet contact person","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-26 00:00:00","Navaneetham Enterprises","0","Visit","ISO PROPYL ALCOHOL","Went New cstomer Meet Mr.Ramesh they doing Opsite Printing they want Equal product for IPA (ALOCALX)","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-26 00:00:00","sri Kalis Graphics","0","Visit","","Went New customer meet unble to meet Mr.Muthu he will availble on next wednesday with price list","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-26 00:00:00","SRI GANESHA CHEMICALS","0","Visit","","Went exting customer Meet Mr.Ajith Kumar customer taking secondary material if customer need customer will call us","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-26 00:00:00","SPRINGFEEL POLYURETHANE FOAMS PVT.LTD.,","0","Visit","TOLUENE DI ISOCYNATE (TDI)","Went exting customer meet mr.Krishnan for payment followup collected payment","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-26 00:00:00","4 ACES","0","Visit","TOLUENE","Went exting customer customer was busy unable to contact him","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-27 00:00:00","NAIDU PLASTICS","0","Visit","","Went exiting customer but contact person not availble","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-27 00:00:00","ADDUCO ENGINEERING SOLUTIONS PVT LTD","0","Visit","EXXSOL D40","Went exiting customer Meet Mr.Loganathan payment followup customer will give with 2days","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-27 00:00:00","SUPER POLYMERS","0","Visit","TOLUENE","Went exiting customer Meet Mr.Peer Mohammed customer dont use our chemicals currently if he need customer will call us","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-27 00:00:00","ICA SPECIALITIES","0","Visit","BUTYL ACETATE","Went exiting customer Meet mrs.Jaya collected EUC","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-27 00:00:00","4 ACES","0","Visit","TOLUENE","Went exiting customer Customer was busy unble to contact him","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-27 00:00:00","FLAMAGAS INDIA PVT LTD.","0","Visit","CYCLOHEXANONE","Went exiting customer Meet mr.Prakash for payment followup customer will give tommerow","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-28 00:00:00","PRASAD ORGANICS (P) LTD","0","Visit","PHOSPHORIC ACID","went exiting customer Meet Mrs.Anuratha for order confermation customer want discus with his manager order will come next month only","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-28 00:00:00","FLAMAGAS INDIA PVT LTD.","0","Visit","CYCLOHEXANONE","Went exiting customer Meer Mr.Venkatesh for payment followup collected amount","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-28 00:00:00","STANDARD COLOUR CO (P) LTD","0","Visit","CYCLOHEXANONE","Went exiting customer meet mrs Anadhi payment followup customer will call next week","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-28 00:00:00","EAU CHEMICAL (MFG) PVT.LTD.","0","Visit","ACETIC ACID","Went exiting customer contact person not availble","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-02-28 00:00:00","THIRU AROORAN SUGARS LTD","0","Visit","PHOSPHORIC ACID","Went exiting customer Meet Mr.Prabhakar for paymant followup customer said March 9 or 10th will give","2014-02-28",""
"Chennai","CHANDRASEKARAN.A","2014-03-01 00:00:00","","","","","","2014-03-01",""
"Chennai","CHANDRASEKARAN.A","2014-03-03 00:00:00","SRI POLYMER PRODUCTS","0","Visit","METHYL ETHYL KETONE (M.E.K)","To Meet Mr.Rayan regarding for order followup & EUC i have to contact Mr.Ranjith Ambattur Branch","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-03 00:00:00","STAR PACKEGING","0","Visit","","Meet.Mr.Raja customer dont use chemicals","2014-03-14",""
"Chennai","CHANDRASEKARAN.A","2014-03-03 00:00:00","ICA SPECIALITIES","0","Visit","TOLUENE","Meet Mrs Jaya regarding order followup customer have stock order will April only","2014-03-14",""
